asignatura,creditos,periodo,regimen
PROYECTO DE TITULO,30,X,Semestral
PROYECTO DE TITULO,30,X,Semestral
TALLER DE DISEÑO I,18,1ro,Anual
TALLER DE DISEÑO GRAFICO II,18,2do,Anual
TALLER DE DISEÑO INDUSTRIAL II,18,2do,Anual
PRACTICA PROFESIONAL II,15,IX,Semestral
INVESTIGACION BASE MEMORIA,15,IX,Semestral
PRACTICA PROFESIONAL II,15,IX,Semestral
INVESTIGACION BASE MEMORIA,15,IX,Semestral
TALLER DE DISEÑO GRAFICO III,9,V,Semestral
TALLER DE DISEÑO INDUSTRIAL III,9,V,Semestral
TALLER DE DISEÑO GRAFICO IV,9,VI,Semestral
TALLER DE DISEÑO INDUSTRIAL IV,9,VI,Semestral
TALLER DE DISEÑO GRAFICO V,9,VII,Semestral
TALLER DE DISEÑO INDUSTRIAL V,9,VII,Semestral
TALLER DE DISEÑO GRAFICO VI,9,VIII,Semestral
TALLER DE DISEÑO INDUSTRIAL VI,9,VIII,Semestral
EXPRESION GRAFICA I,7,1ro,Anual
PERCEPCION,7,1ro,Anual
GEOMETRIA,7,1ro,Anual
GRAFICA COMPUTACIONAL I,6,1ro,Anual
HISTORIA Y TEORIA DEL DISEÑO,6,1ro,Anual
MATEMATICAS,6,1ro,Anual
EXPRESION GRAFICA II,6,2do,Anual
PERCEPCION VISUAL,6,2do,Anual
FOTOGRAFIA,6,2do,Anual
GRAFICA COMPUTACIONAL II,6,2do,Anual
HISTORIA Y TEORIA DEL DISEÑO GRAFICO,6,2do,Anual
TEORIA DE LA COMUNICACION,6,2do,Anual
ECONOMIA Y ADMINISTRACION,6,2do,Anual
TALLER DE MAQUETAS Y PROTOTIPOS,6,2do,Anual
GEOMETRIA II Y DIBUJO TECNICO,6,2do,Anual
TECNOLOGIA INDUSTRIAL Y MATERIALES I,6,2do,Anual
GRAFICA COMPUTACIONAL II,6,2do,Anual
ERGONOMIA I,6,2do,Anual
FISICA,6,2do,Anual
ECONOMIA Y ADMINISTRACION,6,2do,Anual
SEMINARIO DE DISEÑO GRAFICO I,5,VII,Semestral
SEMINARIO DE DISEÑO INDUSTRIAL I,5,VII,Semestral
SEMINARIO DE DISEÑO GRAFICO II,5,VIII,Semestral
SEMINARIO DE DISEÑO INDUSTRIAL II,5,VIII,Semestral
ANTROPOLOGIA CULTURAL,3,1ro,Anual
TECNOLOGIA GRAFICA I,3,V,Semestral
MULTIMEDIA I,3,V,Semestral
LENGUAJE AUDIOVISUAL I,3,V,Semestral
PSICOLOGIA SOCIAL,3,V,Semestral
SEMIOTICA DE LA IMAGEN I,3,V,Semestral
MARKETING I,3,V,Semestral
ELECTIVO I,3,V,Semestral
TECNOLOGIA INDUSTRIAL Y MATERIALES II,3,V,Semestral
MODELAMIENTO I,3,V,Semestral
ERGONOMIA II,3,V,Semestral
ESTRUCTURAS I,3,V,Semestral
MARKETING I,3,V,Semestral
HISTORIA Y TEORIA DEL DISEÑO INDUSTRIAL,3,V,Semestral
ELECTIVO I,3,V,Semestral
TECNOLOGIA GRAFICA II,3,VI,Semestral
MULTIMEDIA II,3,VI,Semestral
LENGUAJE AUDIOVISUAL II,3,VI,Semestral
METODOLOGIA DE LA INVESTIGACION,3,VI,Semestral
SEMIOTICA DE LA IMAGEN II,3,VI,Semestral
MARKETING II,3,VI,Semestral
ELECTIVO II,3,VI,Semestral
TECNOLOGIA INDUSTRIAL Y MATERIALES III,3,VI,Semestral
MODELAMIENTO II,3,VI,Semestral
BIONICA,3,VI,Semestral
ESTRUCTURAS II,3,VI,Semestral
MARKETING II,3,VI,Semestral
METODOLOGIAS DE LA INVESTIGACION,3,VI,Semestral
ELECTIVO II,3,VI,Semestral
SEMINARIO GRAFICA COMPUTACIONAL I,3,VII,Semestral
SEMINARIO PRODUCCION AUDIOVISUAL I,3,VII,Semestral
PUBLICIDAD,3,VII,Semestral
SEMINARIO DE GESTION I,3,VII,Semestral
ELECTIVO III,3,VII,Semestral
PSICOLOGIA SOCIAL,3,VII,Semestral
SEMINARIO DISEÑO COMPUTACIONAL I,3,VII,Semestral
SEMINARIO DE PROCESOS DE PRODUCCION Y MATERIALES INDUSTRIALES I,3,VII,Semestral
SEMINARIO DE GESTION I,3,VII,Semestral
ELECTIVO III,3,VII,Semestral
SEMINARIO GRAFICA COMPUTACIONAL II,3,VIII,Semestral
SEMINARIO PRODUCCION AUDIOVISUAL II,3,VIII,Semestral
ETICA Y LEGISLACION,3,VIII,Semestral
SEMINARIO DE GESTION II,3,VIII,Semestral
ELECTIVO IV,3,VIII,Semestral
ETICA Y LEGISLACION,3,VIII,Semestral
SEMINARIO DE DISEÑO COMPUTACIONAL II,3,VIII,Semestral
SEMINARIO DE PROCESOS DE PRODUCCION Y MATERIALES INDUSTRIALES II,3,VIII,Semestral
SEMINARIO DE GESTION II,3,VIII,Semestral
ELECTIVO IV,3,VIII,Semestral
PRACTICA PROFESIONAL I,2,VII,Semestral
PRACTICA PROFESIONAL I,2,VII,Semestral
